TaxonomyID	TaxonomyName	TaxonomyRank	G3825-1.BBH.direct.counts	G3825-1.BBH.direct.percentage	G3825-1.BBH.cumulative.counts	G3825-1.BBH.cumulative.percentage	G3825-1.LCA.direct.counts	G3825-1.LCA.direct.percentage	G3825-1.LCA.cumulative.counts	G3825-1.LCA.cumulative.percentage
754482	environmental samples	no rank	0	0	1	3.96E-05	0	0	0	0
143067	Methanosaetaceae	family	0	0	2	7.92E-05	0	0	0	0
648790	Shinella sp. ST33	species	1	3.96E-05	1	3.96E-05	0	0	0	0
29394	Dolosigranulum pigrum	species	2	7.92E-05	2	7.92E-05	0	0	0	0
50714	Acidisphaera	genus	0	0	1	3.96E-05	0	0	0	0
310067	uncultured Anaerolineaceae bacterium	species	1	3.96E-05	1	3.96E-05	0	0	0	0
211115	Pseudomonas sp. RE59	species	2	7.92E-05	2	7.92E-05	0	0	0	0
596767	Hydrogenoanaerobacterium	genus	0	0	1	3.96E-05	0	0	0	0
1198314	Streptococcus sp. NDRI-PAPB 14	species	1	3.96E-05	1	3.96E-05	0	0	0	0
706435	Capnocytophaga sp. oral taxon 329	species	3	1.19E-04	3	1.19E-04	2	7.92E-05	2	7.92E-05
412045	uncultured Cystobacteraceae bacterium	species	15	5.94E-04	15	5.94E-04	0	0	0	0
412057	environmental samples	no rank	0	0	2	7.92E-05	0	0	0	0
84372	environmental samples	no rank	0	0	10	3.96E-04	0	0	2	7.92E-05
340359	uncultured Leifsonia sp.	species	2	7.92E-05	2	7.92E-05	0	0	0	0
113056	Lactobacillus sp. GTP5	species	36	0.001425572	36	0.001425572	0	0	0	0
60133	Prevotella pallens	species	1	3.96E-05	1	3.96E-05	0	0	0	0
197513	environmental samples	no rank	0	0	464	0.018374033	0	0	0	0
619740	Comamonadaceae bacterium L-1031	species	1	3.96E-05	1	3.96E-05	0	0	0	0
53354	Streptococcus gallolyticus subsp. gallolyticus	subspecies	0	0	0	0	2	7.92E-05	2	7.92E-05
2369	Arhodomonas aquaeolei	species	3	1.19E-04	3	1.19E-04	0	0	0	0
33968	Leuconostoc pseudomesenteroides	species	1	3.96E-05	1	3.96E-05	0	0	0	0
206349	Hydrogenophilaceae	family	0	0	10	3.96E-04	0	0	0	0
670996	Pseudomonas sp. VS05_13	species	15	5.94E-04	15	5.94E-04	0	0	0	0
563442	Rhizobiaceae bacterium M318	species	3	1.19E-04	3	1.19E-04	0	0	0	0
671226	Streptococcus sp. oral taxon 070	species	1	3.96E-05	1	3.96E-05	0	0	0	0
294	Pseudomonas fluorescens	species	77	0.003049139	77	0.003049139	0	0	0	0
134350	hydrogen production community clone HPB-G1-14	species	8	3.17E-04	8	3.17E-04	1	3.96E-05	1	3.96E-05
729	Haemophilus parainfluenzae	species	8	3.17E-04	8	3.17E-04	0	0	0	0
745003	environmental samples	no rank	0	0	1	3.96E-05	0	0	0	0
422177	Sphingobacteriales genera incertae sedis	no rank	0	0	1	3.96E-05	0	0	0	0
503948	Pseudomonas sp. a215	species	1	3.96E-05	1	3.96E-05	0	0	0	0
239729	uncultured Microbacteriaceae bacterium	species	3	1.19E-04	3	1.19E-04	0	0	0	0
436303	Staphylococcus sp. CECRI-16/07	species	2	7.92E-05	2	7.92E-05	0	0	0	0
237	Flavobacterium	genus	0	0	5	1.98E-04	0	0	0	0
317	Pseudomonas syringae	species	10	3.96E-04	10	3.96E-04	0	0	1	3.96E-05
575424	uncultured Conexibacteraceae bacterium	species	10	3.96E-04	10	3.96E-04	0	0	0	0
1146893	Rhodobacter sp. JA745	species	1	3.96E-05	1	3.96E-05	0	0	0	0
186813	unclassified Clostridiales	no rank	0	0	10	3.96E-04	0	0	0	0
1110546	Veillonella tobetsuensis	species	5	1.98E-04	5	1.98E-04	0	0	0	0
47938	environmental samples	no rank	0	0	10	3.96E-04	0	0	0	0
688	Aliivibrio logei	species	2	7.92E-05	2	7.92E-05	0	0	0	0
52133	Acinetobacter venetianus	species	1	3.96E-05	1	3.96E-05	0	0	0	0
191215	uncultured Alcanivorax sp.	species	2	7.92E-05	2	7.92E-05	0	0	0	0
1232	Nitrosovibrio	genus	0	0	2	7.92E-05	0	0	0	0
34072	Variovorax	genus	0	0	2	7.92E-05	0	0	0	0
499850	Geitlerinema cf. pseudacutissimum CCALA 142	no rank	1	3.96E-05	1	3.96E-05	0	0	0	0
140984	environmental samples	no rank	0	0	16	6.34E-04	0	0	0	0
80843	environmental samples	no rank	0	0	1	3.96E-05	0	0	0	0
97500	environmental samples	no rank	0	0	171	0.006771465	0	0	0	0
1165856	Lyngbya wollei SG	no rank	2	7.92E-05	2	7.92E-05	0	0	0	0
748033	Lyngbya majuscula NAC8-47	no rank	1	3.96E-05	1	3.96E-05	0	0	0	0
170015	environmental samples	no rank	0	0	13	5.15E-04	0	0	0	0
188710	Thermodesulfobacteriales	order	0	0	1	3.96E-05	0	0	0	0
102106	Collinsella	genus	0	0	5	1.98E-04	2	7.92E-05	2	7.92E-05
1048746	Pseudomonas sp. AIC8-6	species	1	3.96E-05	1	3.96E-05	0	0	0	0
491150	uncultured Kaistobacter sp.	species	2	7.92E-05	2	7.92E-05	0	0	0	0
218202	environmental samples	no rank	0	0	1	3.96E-05	0	0	0	0
42881	Streptomyces chromofuscus	species	1	3.96E-05	1	3.96E-05	0	0	0	0
1033	Afipia	genus	0	0	12	4.75E-04	0	0	2	7.92E-05
732140	Anabaena sedovii	species	0	0	2	7.92E-05	0	0	0	0
194846	uncultured Enterobacteriales bacterium	species	2	7.92E-05	2	7.92E-05	0	0	0	0
157175	environmental samples	no rank	0	0	1	3.96E-05	0	0	0	0
470	Acinetobacter baumannii	species	5	1.98E-04	7	2.77E-04	0	0	0	0
209	Helicobacter	genus	0	0	29	0.001148377	0	0	0	0
349923	environmental samples	no rank	0	0	3	1.19E-04	0	0	0	0
338	Xanthomonas	genus	0	0	12	4.75E-04	0	0	0	0
75663	environmental samples	no rank	0	0	1	3.96E-05	0	0	1	3.96E-05
89306	environmental samples	no rank	0	0	41	0.001623568	0	0	1	3.96E-05
504637	Nocardioides sp. Pc7	species	3	1.19E-04	3	1.19E-04	0	0	0	0
29488	Photorhabdus luminescens	species	3	1.19E-04	3	1.19E-04	0	0	0	0
234323	bacterium Ellin6057	species	1	3.96E-05	1	3.96E-05	0	0	0	0
158786	Lyngbya majuscula	species	0	0	1	3.96E-05	0	0	0	0
105840	butyrate-producing bacterium L2-10	species	1	3.96E-05	1	3.96E-05	0	0	0	0
59892	Treponema amylovorum	species	2	7.92E-05	2	7.92E-05	0	0	0	0
292276	environmental samples	no rank	0	0	6	2.38E-04	0	0	0	0
592834	uncultured Opitutales bacterium	species	4	1.58E-04	4	1.58E-04	0	0	0	0
204429	Chlamydiia	class	0	0	4	1.58E-04	0	0	0	0
137	Spirochaetaceae	family	0	0	23	9.11E-04	0	0	1	3.96E-05
417998	environmental samples	no rank	0	0	3	1.19E-04	0	0	0	0
412396	uncultured Actinoplanes sp.	species	2	7.92E-05	2	7.92E-05	0	0	0	0
123061	uncultured rumen bacterium 5cARRO	species	2	7.92E-05	2	7.92E-05	0	0	0	0
1118545	Bacillus sp. HM03	species	2	7.92E-05	2	7.92E-05	0	0	0	0
112	Planctomycetales	order	0	0	212	0.008395032	27	0.001069179	66	0.002613548
2722	unidentified proteobacterium	species	1	3.96E-05	1	3.96E-05	0	0	0	0
32008	Burkholderia	genus	0	0	18	7.13E-04	0	0	0	0
83780	unclassified Kineosporiaceae	no rank	0	0	4	1.58E-04	0	0	0	0
749208	Dolichospermum lemmermannii 04-24	no rank	5	1.98E-04	5	1.98E-04	0	0	0	0
293405	uncultured Sphingomonadales bacterium	species	62	0.002455151	62	0.002455151	0	0	0	0
659876	Corynebacterium sp. ICIRC105	species	1	3.96E-05	1	3.96E-05	0	0	0	0
88278	Bacillus sp. IDA234/600	species	1	3.96E-05	1	3.96E-05	0	0	0	0
351	Azotobacter group	subfamily	0	0	2	7.92E-05	0	0	0	0
334579	environmental samples	no rank	0	0	2	7.92E-05	0	0	0	0
1655	Actinomyces naeslundii	species	6	2.38E-04	6	2.38E-04	2	7.92E-05	2	7.92E-05
501783	Cloacibacterium	genus	0	0	2	7.92E-05	0	0	0	0
146936	Azonexus	genus	0	0	1	3.96E-05	0	0	0	0
85029	Dietziaceae	family	0	0	69	0.002732345	0	0	34	0.001346373
712226	Capnocytophaga sp. oral taxon G02	species	2	7.92E-05	2	7.92E-05	0	0	0	0
949	Anaplasma platys	species	1	3.96E-05	1	3.96E-05	0	0	0	0
1567	Quinella	genus	0	0	1	3.96E-05	0	0	0	0
649559	environmental samples	no rank	0	0	1	3.96E-05	0	0	0	0
57723	Acidobacteria	phylum	0	0	259	0.010256195	11	4.36E-04	16	6.34E-04
526524	Erysipelotrichia	class	0	0	15	5.94E-04	0	0	0	0
141382	environmental samples	no rank	0	0	3	1.19E-04	0	0	0	0
360759	Kocuria sp. HPC975	species	2	7.92E-05	2	7.92E-05	0	0	0	0
934385	Pseudomonas sp. SGb210y	species	3	1.19E-04	3	1.19E-04	0	0	0	0
80840	Burkholderiales	order	0	0	397	0.015720886	20	7.92E-04	63	0.00249475
259943	environmental samples	no rank	0	0	4	1.58E-04	0	0	1	3.96E-05
481164	uncultured Thermovirga sp.	species	1	3.96E-05	1	3.96E-05	0	0	0	0
530834	Pseudomonas sp. 01WB03.1-2	species	1	3.96E-05	1	3.96E-05	0	0	0	0
179018	alpha proteobacterium Kaza-35	species	1	3.96E-05	1	3.96E-05	0	0	0	0
99479	Tetrasphaera	genus	0	0	10	3.96E-04	0	0	0	0
98160	environmental samples	no rank	0	0	3	1.19E-04	0	0	1	3.96E-05
1266	Sarcina	genus	0	0	356	0.014097318	0	0	0	0
224577	environmental samples	no rank	0	0	3	1.19E-04	0	0	1	3.96E-05
287	Pseudomonas aeruginosa	species	64	0.002534349	64	0.002534349	0	0	0	0
85025	Nocardiaceae	family	0	0	227	0.00898902	2	7.92E-05	71	0.002811544
442861	environmental samples	no rank	0	0	17	6.73E-04	0	0	0	0
1150364	Bacillus sp. PHLE-5	species	1	3.96E-05	1	3.96E-05	0	0	0	0
183212	environmental samples	no rank	0	0	248	0.009820604	0	0	0	0
1150564	Rhizobium sp. MN4-3	species	33	0.001306774	33	0.001306774	0	0	0	0
204	Campylobacter showae	species	2	7.92E-05	2	7.92E-05	1	3.96E-05	1	3.96E-05
370735	Zhihengliuella	genus	0	0	2	7.92E-05	0	0	0	0
470072	gamma proteobacterium SP5	species	1	3.96E-05	1	3.96E-05	0	0	0	0
414715	Actinospica	genus	0	0	1	3.96E-05	0	0	0	0
40903	environmental samples	no rank	0	0	189	0.00748425	2	7.92E-05	21	8.32E-04
1055468	Pseudomonas sp. CCM 7891	species	1	3.96E-05	1	3.96E-05	0	0	0	0
671225	Selenomonas sp. oral taxon 140	species	1	3.96E-05	1	3.96E-05	0	0	0	0
886129	Aeromicrobium sp. 67(2010)	species	2	7.92E-05	2	7.92E-05	0	0	0	0
437755	Moryella	genus	0	0	3	1.19E-04	0	0	0	0
21	Phenylobacterium immobile	species	2	7.92E-05	2	7.92E-05	0	0	0	0
31957	Propionibacteriaceae	family	0	0	155	0.006137877	6	2.38E-04	8	3.17E-04
135065	environmental samples	no rank	0	0	3	1.19E-04	0	0	0	0
92713	Parachlamydiaceae	family	0	0	2	7.92E-05	0	0	0	0
204455	Rhodobacterales	order	0	0	44	0.001742365	0	0	12	4.75E-04
655305	environmental samples	no rank	0	0	1	3.96E-05	0	0	0	0
985718	Rhodocista sp. CAJ2-2	species	1	3.96E-05	1	3.96E-05	0	0	0	0
74201	Verrucomicrobia	phylum	0	0	43	0.001702766	20	7.92E-04	23	9.11E-04
68346	environmental samples	no rank	0	0	3	1.19E-04	0	0	0	0
157280	uncultured Erythromicrobium sp.	species	3	1.19E-04	3	1.19E-04	0	0	0	0
1134404	Ignavibacteriae	phylum	0	0	1	3.96E-05	0	0	0	0
436912	Acinetobacter sp. CU27	species	1	3.96E-05	1	3.96E-05	0	0	0	0
1151666	Lachnospiraceae bacterium canine oral taxon 263	species	1	3.96E-05	1	3.96E-05	0	0	0	0
224464	Kofleriaceae	family	0	0	2	7.92E-05	0	0	0	0
184421	environmental samples	no rank	0	0	4	1.58E-04	0	0	0	0
332354	uncultured Methylosinus sp.	species	2	7.92E-05	2	7.92E-05	0	0	0	0
705306	uncultured Candidatus Koribacter sp.	species	2	7.92E-05	2	7.92E-05	0	0	0	0
151985	uncultured Rhodocyclaceae bacterium	species	12	4.75E-04	12	4.75E-04	0	0	0	0
1160981	Pseudomonas sp. IOCa1	species	1	3.96E-05	1	3.96E-05	0	0	0	0
74152	Elusimicrobia	phylum	0	0	6	2.38E-04	0	0	0	0
145357	Dermacoccaceae	family	0	0	27	0.001069179	0	0	1	3.96E-05
Not assigned due to threshold			0	0	0	0	11298	0.447391858	11298	0.447391858
31	Myxococcaceae	family	0	0	10	3.96E-04	0	0	0	0
291423	environmental samples	no rank	0	0	1	3.96E-05	0	0	0	0
83541	Mastigocladus laminosus	species	0	0	1	3.96E-05	0	0	0	0
367298	Phycicoccus	genus	0	0	1	3.96E-05	0	0	0	0
1263	Ruminococcus	genus	0	0	6	2.38E-04	0	0	0	0
1082897	Erythrobacter sp. SG-18g	species	1	3.96E-05	1	3.96E-05	0	0	0	0
999514	Pseudomonas sp. OSG41	species	1	3.96E-05	1	3.96E-05	0	0	0	0
701142	Peptostreptococcus sp. oral clone 12-69	species	2	7.92E-05	2	7.92E-05	0	0	0	0
189680	uncultured Brachybacterium sp.	species	1	3.96E-05	1	3.96E-05	0	0	0	0
483929	Acinetobacter sp. LR30	species	1	3.96E-05	1	3.96E-05	0	0	0	0
194	Campylobacter	genus	0	0	7	2.77E-04	3	1.19E-04	5	1.98E-04
658094	Pseudomonas sp. SLK	species	1	3.96E-05	1	3.96E-05	0	0	0	0
43996	Catonella	genus	0	0	5	1.98E-04	0	0	0	0
71999	Kocuria palustris	species	2	7.92E-05	2	7.92E-05	0	0	0	0
99283	environmental samples	no rank	0	0	5	1.98E-04	0	0	0	0
415996	Shinella yambaruensis	species	1	3.96E-05	1	3.96E-05	0	0	0	0
358106	Haemophilus sp. oral clone ASCB01	species	3	1.19E-04	3	1.19E-04	0	0	0	0
359372	uncultured Salinisphaera sp.	species	7	2.77E-04	7	2.77E-04	0	0	0	0
81850	Leuconostocaceae	family	0	0	5	1.98E-04	0	0	2	7.92E-05
86027	uncultured beta proteobacterium	species	360	0.014255715	360	0.014255715	5	1.98E-04	5	1.98E-04
269798	Cytophaga hutchinsonii ATCC 33406	no rank	1	3.96E-05	1	3.96E-05	0	0	0	0
33936	Aeribacillus pallidus	species	1	3.96E-05	1	3.96E-05	0	0	0	0
254352	uncultured Gemella sp.	species	20	7.92E-04	20	7.92E-04	0	0	0	0
575416	uncultured Fusobacteriaceae bacterium	species	1	3.96E-05	1	3.96E-05	0	0	0	0
452434	environmental samples	no rank	0	0	1	3.96E-05	0	0	0	0
197516	uncultured Bacillaceae bacterium	species	67	0.002653147	67	0.002653147	0	0	0	0
904176	Staphylococcus sp. 2008-01-1056-2	species	1	3.96E-05	1	3.96E-05	0	0	0	0
872284	rumen bacterium IVRI-RM-1007	species	1	3.96E-05	1	3.96E-05	0	0	0	0
712985	Lachnospiraceae bacterium oral taxon 107	species	2	7.92E-05	2	7.92E-05	0	0	0	0
341784	Brevibacterium sp. SK8B2	species	2	7.92E-05	2	7.92E-05	0	0	0	0
1177	Nostoc	genus	0	0	13	5.15E-04	0	0	1	3.96E-05
200666	Sphingobacteriales	order	0	0	24	9.50E-04	0	0	4	1.58E-04
68287	Mesorhizobium	genus	0	0	6	2.38E-04	1	3.96E-05	1	3.96E-05
181497	Alfalfa witches'-broom phytoplasma	species	3	1.19E-04	3	1.19E-04	0	0	0	0
1163856	Actinomyces sp. 'ARUP UnID 95'	species	2	7.92E-05	2	7.92E-05	0	0	0	0
1142283	Acinetobacter sp. AaM1c	species	6	2.38E-04	6	2.38E-04	0	0	0	0
197502	uncultured Alcaligenaceae bacterium	species	3	1.19E-04	3	1.19E-04	0	0	0	0
44825	Microcystis holsatica	species	0	0	1	3.96E-05	0	0	0	0
395522	environmental samples	no rank	0	0	13	5.15E-04	0	0	0	0
306	Pseudomonas sp.	species	41	0.001623568	41	0.001623568	0	0	0	0
239744	uncultured Bdellovibrio sp.	species	3	1.19E-04	3	1.19E-04	0	0	0	0
1178514	Hymenobacter sp. DY35	species	2	7.92E-05	2	7.92E-05	0	0	0	0
1357	Lactococcus	genus	0	0	51	0.00201956	6	2.38E-04	11	4.36E-04
158752	environmental samples	no rank	0	0	1	3.96E-05	0	0	0	0
1358	Lactococcus lactis	species	1	3.96E-05	22	8.71E-04	2	7.92E-05	5	1.98E-04
2701	Gardnerella	genus	0	0	6	2.38E-04	4	1.58E-04	4	1.58E-04
194372	environmental samples	no rank	0	0	1	3.96E-05	0	0	0	0
1696	Brevibacterium	genus	0	0	52	0.002059159	4	1.58E-04	4	1.58E-04
111782	Tolypothrix	genus	0	0	1	3.96E-05	0	0	0	0
1346	Streptococcus iniae	species	1	3.96E-05	1	3.96E-05	0	0	0	0
910939	Streptococcus sp. HKU30	species	3	1.19E-04	3	1.19E-04	0	0	0	0
518746	Limibacter	genus	0	0	1	3.96E-05	0	0	0	0
293404	environmental samples	no rank	0	0	62	0.002455151	0	0	0	0
1847	Pseudonocardia	genus	0	0	1	3.96E-05	0	0	0	0
89308	environmental samples	no rank	0	0	2	7.92E-05	0	0	0	0
538998	Pasteuriaceae	family	0	0	2	7.92E-05	0	0	0	0
712333	Lactobacillus sp. oral taxon 418	species	1	3.96E-05	1	3.96E-05	0	0	0	0
83668	selenate-reducing bacterium JSA	species	1	3.96E-05	1	3.96E-05	0	0	0	0
712724	Treponema sp. oral taxon 237	species	1	3.96E-05	1	3.96E-05	0	0	0	0
1216245	Pseudomonas sp. Wash8.1	species	2	7.92E-05	2	7.92E-05	0	0	0	0
135001	environmental samples	no rank	0	0	5	1.98E-04	0	0	0	0
89772	Aquamicrobium lusatiense	species	5	1.98E-04	5	1.98E-04	0	0	0	0
711613	gamma proteobacterium 2.1.24_I	species	1	3.96E-05	1	3.96E-05	0	0	0	0
153232	Oceanicaulis	genus	0	0	1	3.96E-05	0	0	0	0
584783	Coriobacterium sp. AUH-Julong21	species	2	7.92E-05	2	7.92E-05	0	0	0	0
348577	environmental samples	no rank	0	0	1	3.96E-05	0	0	0	0
47879	Pseudomonas corrugata	species	7	2.77E-04	7	2.77E-04	0	0	0	0
453409	environmental samples	no rank	0	0	1	3.96E-05	0	0	0	0
259309	uncultured Nocardia sp.	species	1	3.96E-05	1	3.96E-05	0	0	0	0
1162	Nostocaceae	family	0	0	102	0.004039119	3	1.19E-04	38	0.00150477
2733	Symbiobacterium	genus	0	0	1	3.96E-05	0	0	0	0
1279	Staphylococcus	genus	0	0	279	0.011048179	56	0.002217556	70	0.002771945
114243	uncultured euryarchaeote	species	4	1.58E-04	4	1.58E-04	0	0	0	0
1160952	uncultured Candidatus Competibacter sp.	species	1	3.96E-05	1	3.96E-05	0	0	0	0
672	Vibrio vulnificus	species	1	3.96E-05	1	3.96E-05	0	0	0	0
201174	Actinobacteria	phylum	0	0	3651	0.14457671	0	0	1721	0.068150238
397417	Pseudomonas sp. LBUM251	species	1	3.96E-05	1	3.96E-05	0	0	0	0
271085	uncultured Hydrogenophilaceae bacterium	species	1	3.96E-05	1	3.96E-05	0	0	0	0
1034264	Pseudomonas sp. DJM1B11	species	2	7.92E-05	2	7.92E-05	0	0	0	0
349922	uncultured Carnobacteriaceae bacterium	species	5	1.98E-04	5	1.98E-04	0	0	0	0
447593	Thermoanaerobacter uzonensis	species	2	7.92E-05	2	7.92E-05	0	0	0	0
1585	Lactobacillus delbrueckii subsp. bulgaricus	subspecies	591	0.023403132	591	0.023403132	56	0.002217556	56	0.002217556
169977	uncultured Bacteroidetes/Chlorobi group bacterium	species	3	1.19E-04	3	1.19E-04	0	0	0	0
42055	Chromohalobacter marismortui	species	1	3.96E-05	1	3.96E-05	0	0	0	0
530099	actinobacterium X19(2008)	species	1	3.96E-05	1	3.96E-05	0	0	0	0
431555	Sporichthya sp. KAR54	species	1	3.96E-05	1	3.96E-05	0	0	0	0
1042251	Nocardioides sp. ATD6	species	2	7.92E-05	2	7.92E-05	0	0	0	0
53370	Pilimelia	genus	0	0	1	3.96E-05	0	0	0	0
337218	environmental samples	no rank	0	0	3	1.19E-04	0	0	0	0
1400827	Plasticicumulans	genus	0	0	4	1.58E-04	0	0	0	0
219687	Gemmatimonadaceae	family	0	0	3	1.19E-04	0	0	0	0
136099	Knoellia	genus	0	0	18	7.13E-04	0	0	0	0
151376	uncultured feedlot manure bacterium B81	species	1	3.96E-05	1	3.96E-05	0	0	0	0
360907	uncultured Gallionella sp.	species	2	7.92E-05	2	7.92E-05	0	0	0	0
1172359	Kocuria sp. BVB03	species	22	8.71E-04	22	8.71E-04	0	0	0	0
54522	environmental samples	no rank	0	0	35	0.001385972	0	0	3	1.19E-04
157294	uncultured Desulfotomaculum sp.	species	1	3.96E-05	1	3.96E-05	0	0	0	0
136	Spirochaetales	order	0	0	30	0.001187976	2	7.92E-05	3	1.19E-04
1120687	Rhizobium sp. LC003	species	1	3.96E-05	1	3.96E-05	0	0	0	0
543349	Clostridiales Family XVIII. Incertae Sedis	family	0	0	1	3.96E-05	0	0	0	0
246142	environmental samples	no rank	0	0	2	7.92E-05	0	0	0	0
454937	environmental samples	no rank	0	0	1	3.96E-05	0	0	0	0
1633	Lactobacillus vaginalis	species	1	3.96E-05	1	3.96E-05	0	0	0	0
90372	Thiomargarita	genus	0	0	1	3.96E-05	0	0	0	0
165188	uncultured Megasphaera sp.	species	3	1.19E-04	3	1.19E-04	0	0	0	0
1147805	cyanobacterium enrichment culture clone 1_16_1.1.3_T7	species	24	9.50E-04	24	9.50E-04	0	0	0	0
159268	uncultured Veillonella sp.	species	101	0.00399952	101	0.00399952	0	0	0	0
327681	Capnocytophaga sp. AHN9647	species	2	7.92E-05	2	7.92E-05	0	0	0	0
254245	Aquicella	genus	0	0	1	3.96E-05	0	0	0	0
186475	Kouleothrix	genus	0	0	3	1.19E-04	0	0	0	0
85016	Cellulomonadaceae	family	0	0	54	0.002138357	1	3.96E-05	4	1.58E-04
443075	uncultured Dyadobacter sp.	species	6	2.38E-04	6	2.38E-04	0	0	0	0
129685	environmental samples	no rank	0	0	6	2.38E-04	0	0	0	0
351360	uncultured Dyella sp.	species	3	1.19E-04	3	1.19E-04	0	0	0	0
